Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Churn
4.0,1,3,6.0,4,0,3.0,3,2,2,2,9,1,11.0,1.0,1.0,5.0,159.93,1
9.0,2,1,8.0,6,1,3.0,4,3,3,2,7,1,15.0,0.0,1.0,0.0,123.02000000000001,1
9.0,2,1,30.0,4,1,2.0,4,3,3,2,6,1,14.0,0.0,1.0,3.0,123.02000000000001,1
0.0,2,3,15.0,4,1,2.0,4,2,5,2,8,0,23.0,0.0,1.0,3.0,134.07,1
0.0,2,1,12.0,0,1,3.0,3,3,5,2,3,0,11.0,1.0,1.0,3.0,129.6,1
0.0,0,1,22.0,4,0,3.0,5,4,5,2,2,1,22.0,4.0,6.0,7.0,139.19,1
9.0,2,3,11.0,2,1,2.0,3,2,2,0,4,0,14.0,0.0,1.0,0.0,123.02000000000001,1
9.0,2,1,6.0,0,1,3.0,3,3,2,0,3,1,16.0,2.0,2.0,0.0,123.02000000000001,1
13.0,2,3,9.0,5,1,3.0,4,3,3,0,2,1,14.0,0.0,1.0,2.0,126.83000000000001,1
9.0,2,1,31.0,4,1,2.0,5,3,3,2,2,0,12.0,1.0,1.0,1.0,123.02000000000001,1
4.0,1,1,18.0,2,0,2.0,3,5,3,0,2,0,15.0,6.0,9.0,8.0,291.97,1
11.0,1,1,6.0,4,1,3.0,4,0,3,2,10,1,13.0,0.0,1.0,0.0,153.81,1
0.0,2,1,11.0,1,1,2.0,3,3,3,2,2,1,13.0,2.0,2.0,2.0,134.41,1
0.0,2,1,15.0,0,1,3.0,4,3,3,0,1,1,17.0,0.0,1.0,0.0,133.88,1
9.0,1,3,15.0,3,1,3.0,4,0,2,2,2,0,16.0,0.0,4.0,7.0,196.19,1
9.0,2,2,12.0,6,1,3.0,3,3,5,1,5,1,22.0,1.0,1.0,2.0,123.02000000000001,1
0.0,0,1,12.0,4,0,3.0,4,3,2,2,2,1,18.0,1.0,1.0,0.0,129.26,1
0.0,1,3,11.0,5,1,2.0,4,2,3,2,2,1,11.0,1.0,1.0,3.0,157.44,1
